 Direct beam 1:  4454
 Reflect beam 1:  4566
 Instrument background 1:  
 Theta 1: san
 Direct beam 2:  4570
 Reflect beam 2:  4567
 Instrument background 2:  
 Theta 2: san
 Direct beam 3:  4572
 Reflect beam 3:  4569
 Instrument background 3:  
 Theta 3: san
 Water:  
 Foreground 1:        5
 Foreground 2:        9
 Foreground 3:        9
 Background Low 1 - Offset :        5
 Background Low 1 - Width  :        9
 Background Low 2 - Offset :        5
 Background Low 2 - Width  :        5
 Background Low 3 - Offset :        5
 Background Low 3 - Width  :        5
 Background High 1 - Offset :        5
 Background High 1 - Width  :        9
 Background High 2 - Offset :        5
 Background High 2 - Width  :        5
 Background High 3 - Offset :        5
 Background High 3 - Width  :        5
 Lambda Range 1:       3.00000-      25.0000
 Lambda Range 2:       2.20000-      25.0000
 Lambda Range 3:       2.20000-      25.0000
 Useful Pixel Range 1:           30-         255
 Useful Pixel Range 2:           30-         255
 Useful Pixel Range 3:           30-         255
 Search Pixel Range 1:          160-         254
 Search Pixel Range 2:          160-         254
 Search Pixel Range 3:          160-         254
 Search Time Range 1:            0-         999
 Search Time Range 2:            0-         999
 Search Time Range 3:            0-         999

	q	   refl		refl err	q res
   0.00842112      0.853122     0.0765216   0.000112587
   0.00843565      0.979157     0.0885478   0.000112794
   0.00845022      0.738021     0.0633799   0.000113002
   0.00846485       1.00000     0.0911241   0.000113211
   0.00847953      0.900742     0.0766720   0.000113421
   0.00849426      0.962547     0.0866526   0.000113631
   0.00850904      0.796533     0.0698192   0.000113843
   0.00852387      0.985264     0.0849801   0.000114055
   0.00853876      0.856337     0.0733857   0.000114267
   0.00855369      0.777152     0.0672741   0.000114481
   0.00856868      0.957879     0.0797115   0.000114695
   0.00858372      0.972508     0.0827921   0.000114911
   0.00859881      0.848427     0.0698978   0.000115127
   0.00861396      0.843527     0.0666954   0.000115344
   0.00862916      0.807073     0.0644265   0.000115561
   0.00864442       1.01982     0.0825285   0.000115780
   0.00865972      0.739429     0.0608520   0.000115999
   0.00867508      0.943228     0.0767178   0.000116219
   0.00869050      0.898194     0.0728139   0.000116440
   0.00870597      0.926045     0.0757302   0.000116662
   0.00872150      0.854814     0.0700187   0.000116884
   0.00873708      0.802861     0.0627361   0.000117108
   0.00875272      0.959981     0.0741890   0.000117332
   0.00876842      0.961498     0.0770668   0.000117558
   0.00878417      0.828610     0.0638885   0.000117784
   0.00879997      0.875660     0.0711035   0.000118011
   0.00881584      0.806963     0.0621772   0.000118238
   0.00883176      0.889692     0.0675542   0.000118467
   0.00884774      0.961533     0.0713856   0.000118697
   0.00886377      0.842927     0.0655441   0.000118927
   0.00887987      0.784000     0.0600755   0.000119158
   0.00889602      0.809434     0.0620696   0.000119391
   0.00891224      0.825989     0.0617647   0.000119624
   0.00892851      0.901463     0.0666391   0.000119858
   0.00894484      0.848370     0.0620249   0.000120093
   0.00896123      0.928166     0.0660273   0.000120329
   0.00897768      0.863571     0.0645704   0.000120566
   0.00899420      0.910879     0.0648215   0.000120803
   0.00901077      0.861963     0.0635174   0.000121042
   0.00902740      0.957887     0.0685629   0.000121282
   0.00904410      0.936314     0.0670861   0.000121522
   0.00906086      0.950269     0.0679602   0.000121764
   0.00907768      0.857782     0.0615522   0.000122007
   0.00909456      0.934326     0.0658334   0.000122250
   0.00911150      0.913230     0.0660641   0.000122494
   0.00912851      0.854623     0.0606431   0.000122740
   0.00914558      0.883858     0.0620251   0.000122986
   0.00916272      0.997272     0.0683316   0.000123234
   0.00917992      0.712889     0.0506447   0.000123482
   0.00919719      0.912948     0.0636744   0.000123732
   0.00921452      0.937500     0.0645690   0.000123982
   0.00923191      0.938632     0.0646772   0.000124233
   0.00924937      0.944195     0.0652300   0.000124486
   0.00926690      0.914333     0.0610855   0.000124739
   0.00928450      0.767541     0.0537508   0.000124994
   0.00930216      0.914542     0.0626862   0.000125249
   0.00931988      0.838495     0.0550541   0.000125506
   0.00933768      0.875964     0.0597584   0.000125763
   0.00935554      0.913085     0.0613078   0.000126022
   0.00937348      0.859982     0.0574240   0.000126282
   0.00939148      0.851532     0.0561072   0.000126543
   0.00940955      0.821627     0.0547577   0.000126805
   0.00942769      0.878304     0.0572732   0.000127068
   0.00944590      0.847211     0.0557584   0.000127332
   0.00946418      0.926219     0.0607504   0.000127597
   0.00948254      0.903138     0.0606895   0.000127863
   0.00950096      0.883226     0.0550107   0.000128130
   0.00951945      0.865372     0.0558885   0.000128399
   0.00953802      0.925399     0.0588862   0.000128669
   0.00955666      0.872453     0.0558086   0.000128939
   0.00957537      0.963081     0.0602328   0.000129211
   0.00959416      0.807981     0.0509934   0.000129484
   0.00961302      0.887370     0.0548929   0.000129758
   0.00963195      0.935729     0.0583854   0.000130034
   0.00965096      0.881001     0.0552533   0.000130310
   0.00967005      0.924042     0.0588796   0.000130588
   0.00968921      0.888484     0.0539117   0.000130867
   0.00970844      0.971268     0.0579133   0.000131147
   0.00972775      0.855573     0.0520854   0.000131428
   0.00974715      0.848338     0.0518798   0.000131711
   0.00976661      0.862490     0.0513774   0.000131994
   0.00978616      0.921350     0.0546794   0.000132279
   0.00980578      0.929566     0.0546112   0.000132565
   0.00982548      0.932749     0.0539454   0.000132853
   0.00984526      0.917090     0.0522737   0.000133141
   0.00986512      0.934225     0.0527022   0.000133431
   0.00988507      0.977946     0.0554982   0.000133722
   0.00990509       1.04863     0.0596729   0.000134015
   0.00992519      0.915849     0.0515058   0.000134309
   0.00994538      0.970426     0.0550429   0.000134603
   0.00996565      0.866736     0.0483669   0.000134900
   0.00998600      0.927144     0.0519348   0.000135197
    0.0100064       1.01906     0.0576593   0.000135496
    0.0100269       1.00042     0.0548459   0.000135796
    0.0100475      0.962760     0.0520585   0.000136098
    0.0100682      0.895275     0.0479805   0.000136401
    0.0100890      0.878728     0.0474697   0.000136705
    0.0101099      0.937545     0.0510109   0.000137011
    0.0101308      0.852294     0.0459348   0.000137317
    0.0101518      0.919997     0.0494227   0.000137626
    0.0101730      0.937038     0.0492104   0.000137935
    0.0101942      0.964356     0.0517221   0.000138247
    0.0102155      0.914921     0.0465319   0.000138559
    0.0102368      0.883392     0.0466289   0.000138873
    0.0102583      0.871058     0.0448178   0.000139188
    0.0102799      0.926305     0.0493755   0.000139505
    0.0103015      0.887796     0.0449636   0.000139823
    0.0103233      0.822376     0.0412076   0.000140143
    0.0103451      0.873799     0.0436357   0.000140464
    0.0103671      0.969468     0.0488710   0.000140786
    0.0103891      0.865434     0.0436784   0.000141111
    0.0104112      0.916947     0.0448395   0.000141436
    0.0104334      0.841924     0.0430294   0.000141763
    0.0104557      0.847004     0.0415032   0.000142092
    0.0104781      0.891520     0.0435232   0.000142422
    0.0105006      0.893846     0.0430362   0.000142753
    0.0105232      0.871350     0.0418193   0.000143086
    0.0105459      0.885830     0.0423640   0.000143421
    0.0105687      0.865730     0.0418782   0.000143757
    0.0105916      0.948645     0.0465151   0.000144095
    0.0106146      0.861756     0.0409230   0.000144435
    0.0106377      0.841131     0.0401475   0.000144776
    0.0106609       1.00172     0.0471000   0.000145118
    0.0106842      0.919643     0.0439310   0.000145463
    0.0107076      0.877885     0.0411168   0.000145808
